,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
130,0.0,重庆市,27,0,0,永川区,2,0,0,2,0,0,2020-01-24
131,0.0,重庆市,27,0,0,九龙坡区,2,0,0,2,0,0,2020-01-24
132,0.0,重庆市,27,0,0,渝北区,2,0,0,2,0,0,2020-01-24
133,0.0,重庆市,27,0,0,开州区,2,0,0,2,0,0,2020-01-24
134,0.0,重庆市,27,0,0,涪陵区,1,0,0,1,0,0,2020-01-24
135,0.0,重庆市,27,0,0,大渡口区,1,0,0,1,0,0,2020-01-24
136,0.0,重庆市,27,0,0,忠县,1,0,0,1,0,0,2020-01-24
137,0.0,重庆市,27,0,0,云阳县,1,0,0,1,0,0,2020-01-24
138,0.0,重庆市,27,0,0,奉节县,1,0,0,1,0,0,2020-01-24
139,0.0,重庆市,27,0,0,巫溪县,1,0,0,1,0,0,2020-01-24
140,0.0,重庆市,27,0,0,秀山县,1,0,0,1,0,0,2020-01-24
141,0.0,重庆市,27,0,0,两江新区,1,0,0,1,0,0,2020-01-24
142,0.0,山西省,1,0,0,太原,1,0,0,1,0,0,2020-01-24
143,0.0,甘肃省,2,0,0,兰州,1,0,0,1,0,0,2020-01-24
144,0.0,甘肃省,2,0,0,白银,1,0,0,1,0,0,2020-01-24
145,0.0,山东省,27,0,0,青岛,2,0,0,6,0,0,2020-01-25
146,0.0,山东省,27,0,0,威海,1,0,0,3,0,0,2020-01-25
147,0.0,山东省,27,0,0,临沂,1,0,0,3,0,0,2020-01-25
148,0.0,山东省,27,0,0,日照,2,0,0,3,0,0,2020-01-25
149,0.0,山东省,27,0,0,济南,1,0,0,3,0,0,2020-01-25
150,0.0,山东省,27,0,0,烟台,0,0,0,2,0,0,2020-01-25
151,0.0,山东省,27,0,0,济宁,1,0,0,2,0,0,2020-01-25
152,0.0,山东省,27,0,0,潍坊,0,0,0,1,0,0,2020-01-25
153,0.0,山东省,27,0,0,德州,1,0,0,1,0,0,2020-01-25
154,0.0,山东省,27,0,0,聊城,1,0,0,1,0,0,2020-01-25
155,0.0,山东省,27,0,0,滨州,1,0,0,1,0,0,2020-01-25
156,0.0,山东省,27,0,0,菏泽,1,0,0,1,0,0,2020-01-25
157,0.0,湖南省,43,0,0,长沙,0,0,0,8,0,0,2020-01-25
158,0.0,湖南省,43,0,0,怀化,2,0,0,5,0,0,2020-01-25
159,0.0,湖南省,43,0,0,岳阳,2,0,0,5,0,0,2020-01-25
160,0.0,湖南省,43,0,0,娄底,2,0,0,5,0,0,2020-01-25
161,0.0,湖南省,43,0,0,永州,0,0,0,4,0,0,2020-01-25
162,0.0,湖南省,43,0,0,益阳,4,0,0,4,0,0,2020-01-25
163,0.0,湖南省,43,0,0,衡阳,3,0,0,3,0,0,2020-01-25
164,0.0,湖南省,43,0,0,常德,3,0,0,3,0,0,2020-01-25
165,0.0,湖南省,43,0,0,湘潭,1,0,0,2,0,0,2020-01-25
166,0.0,湖南省,43,0,0,邵阳,2,0,0,2,0,0,2020-01-25
167,0.0,湖南省,43,0,0,郴州,0,0,0,1,0,0,2020-01-25
168,0.0,湖南省,43,0,0,株洲,0,0,0,1,0,0,2020-01-25
169,0.0,内蒙古自治区,7,0,0,锡林郭勒,2,0,0,2,0,0,2020-01-25
170,0.0,内蒙古自治区,7,0,0,鄂尔多斯,2,0,0,2,0,0,2020-01-25
171,0.0,内蒙古自治区,7,0,0,满洲里,0,0,0,1,0,0,2020-01-25
172,0.0,内蒙古自治区,7,0,0,赤峰,1,0,0,1,0,0,2020-01-25
173,0.0,内蒙古自治区,7,0,0,呼伦贝尔,1,0,0,1,0,0,2020-01-25
174,0.0,广东省,78,2,0,深圳,5,0,0,20,2,0,2020-01-25
175,0.0,广东省,78,2,0,广州,7,0,0,14,0,0,2020-01-25
176,0.0,广东省,78,2,0,珠海,2,0,0,10,0,0,2020-01-25
177,0.0,广东省,78,2,0,佛山,2,0,0,9,0,0,2020-01-25
178,0.0,广东省,78,2,0,惠州,2,0,0,7,0,0,2020-01-25
179,0.0,广东省,78,2,0,阳江,2,0,0,5,0,0,2020-01-25
180,0.0,广东省,78,2,0,韶关,0,0,0,3,0,0,2020-01-25
181,0.0,广东省,78,2,0,湛江,0,0,0,2,0,0,2020-01-25
182,0.0,广东省,78,2,0,中山,0,0,0,2,0,0,2020-01-25
183,0.0,广东省,78,2,0,肇庆,1,0,0,2,0,0,2020-01-25
