name,value,date
内蒙古自治区,42,2020-02-05
黑龙江省,190,2020-02-05
河北省,135,2020-02-05
浙江省,895,2020-02-05
安徽省,530,2020-02-05
江苏省,341,2020-02-05
云南省,124,2020-02-05
福建省,215,2020-02-06
江西省,600,2020-02-06
四川省,321,2020-02-06
贵州省,71,2020-02-06
河南省,851,2020-02-06
海南省,106,2020-02-06
新疆维吾尔自治区,36,2020-02-06
吉林省,59,2020-02-06
重庆市,400,2020-02-06
山西省,90,2020-02-06
甘肃省,62,2020-02-06
陕西省,173,2020-02-06
广西壮族自治区,168,2020-02-06
辽宁省,94,2020-02-06
北京市,274,2020-02-06
青海省,18,2020-02-06
山东省,347,2020-02-06
湖南省,711,2020-02-06
内蒙古自治区,46,2020-02-06
广东省,970,2020-02-06
天津市,78,2020-02-06
宁夏回族自治区,40,2020-02-06
云南省,133,2020-02-06
湖北省,19665,2020-02-06
河北省,157,2020-02-06
浙江省,954,2020-02-06
安徽省,591,2020-02-06
黑龙江省,227,2020-02-06
江苏省,373,2020-02-06
上海市,257,2020-02-06
江西省,661,2020-02-07
北京市,297,2020-02-07
贵州省,81,2020-02-07
河南省,914,2020-02-07
福建省,224,2020-02-07
海南省,117,2020-02-07
重庆市,415,2020-02-07
吉林省,65,2020-02-07
陕西省,184,2020-02-07
山西省,96,2020-02-07
甘肃省,67,2020-02-07
新疆维吾尔自治区,39,2020-02-07
广西壮族自治区,172,2020-02-07
辽宁省,99,2020-02-07
四川省,344,2020-02-07
上海市,277,2020-02-07
湖北省,22112,2020-02-07
湖南省,772,2020-02-07
内蒙古自治区,50,2020-02-07
广东省,1034,2020-02-07
天津市,81,2020-02-07
宁夏回族自治区,43,2020-02-07
山东省,386,2020-02-07
黑龙江省,277,2020-02-07
河北省,172,2020-02-07
浙江省,1006,2020-02-07
安徽省,665,2020-02-07
江苏省,408,2020-02-07
云南省,136,2020-02-07
北京市,315,2020-02-08
四川省,364,2020-02-08
贵州省,89,2020-02-08
河南省,981,2020-02-08
福建省,239,2020-02-08
海南省,124,2020-02-08
重庆市,428,2020-02-08
吉林省,69,2020-02-08
山西省,104,2020-02-08
甘肃省,79,2020-02-08
新疆维吾尔自治区,42,2020-02-08
江西省,698,2020-02-08
广西壮族自治区,183,2020-02-08
陕西省,195,2020-02-08
广东省,1095,2020-02-08
湖北省,24953,2020-02-08
辽宁省,105,2020-02-08
湖南省,803,2020-02-08
内蒙古自治区,52,2020-02-08
天津市,88,2020-02-08
宁夏回族自治区,45,2020-02-08
云南省,138,2020-02-08
山东省,416,2020-02-08
河北省,195,2020-02-08
浙江省,1048,2020-02-08
安徽省,733,2020-02-08
江苏省,439,2020-02-08
上海市,286,2020-02-08
黑龙江省,295,2020-02-08
江西省,740,2020-02-09
北京市,326,2020-02-09
四川省,386,2020-02-09
贵州省,99,2020-02-09
河南省,1033,2020-02-09
广西壮族自治区,195,2020-02-09
海南省,131,2020-02-09
吉林省,78,2020-02-09
重庆市,450,2020-02-09
新疆维吾尔自治区,45,2020-02-09
陕西省,208,2020-02-09
福建省,250,2020-02-09
辽宁省,107,2020-02-09
山西省,115,2020-02-09
上海市,293,2020-02-09
山东省,444,2020-02-09
湖北省,27100,2020-02-09
湖南省,838,2020-02-09
广东省,1131,2020-02-09
天津市,90,2020-02-09
内蒙古自治区,54,2020-02-09
黑龙江省,307,2020-02-09
河北省,206,2020-02-09
浙江省,1075,2020-02-09
安徽省,779,2020-02-09
江苏省,468,2020-02-09
云南省,141,2020-02-09
福建省,261,2020-02-10
北京市,337,2020-02-10
四川省,405,2020-02-10
贵州省,109,2020-02-10
河南省,1073,2020-02-10
海南省,138,2020-02-10
新疆维吾尔自治区,49,2020-02-10
吉林省,80,2020-02-10
重庆市,473,2020-02-10
山西省,119,2020-02-10
甘肃省,83,2020-02-10
江西省,771,2020-02-10
广西壮族自治区,210,2020-02-10
陕西省,213,2020-02-10
广东省,1159,2020-02-10
湖北省,29631,2020-02-10
湖南省,879,2020-02-10
内蒙古自治区,58,2020-02-10
辽宁省,108,2020-02-10
天津市,95,2020-02-10
宁夏回族自治区,49,2020-02-10
云南省,149,2020-02-10
山东省,466,2020-02-10
河北省,218,2020-02-10
浙江省,1092,2020-02-10
安徽省,830,2020-02-10
江苏省,492,2020-02-10
上海市,299,2020-02-10
黑龙江省,331,2020-02-10
北京市,342,2020-02-11
四川省,417,2020-02-11
贵州省,127,2020-02-11
河南省,1105,2020-02-11
福建省,267,2020-02-11
吉林省,81,2020-02-11
广西壮族自治区,215,2020-02-11
重庆市,489,2020-02-11
山西省,122,2020-02-11
甘肃省,86,2020-02-11
江西省,804,2020-02-11
海南省,144,2020-02-11
陕西省,219,2020-02-11
新疆维吾尔自治区,55,2020-02-11
湖北省,31728,2020-02-11
